Date and Time Created,User Name,Tweet for covid
Date and Time Created,User Name,Tweet for covid
2020-05-12 21:02:47,99Biank,b'RT As the pandemic continues so does scapegoating and scaremongering Hatred and xenophobia have spread from anti-Asian sent\xe2\x80\xa6'
2020-05-12 21:02:47,brown_e_ally,b'RT _ I still can\xe2\x80\x99t get over how Americans got tired of COVID and just decided it was over.'
2020-05-12 21:02:47,NicoCallewaert,b'_CMB Chief Xavier Saelens missing in the piece pity At least we learn that some https://t.co/2wmDxskl9R'
2020-05-12 21:02:47,juicemaster,"b'RT ""For those who think the authorities have overreacted the gag is that Sars-CoV-2 is a virus with great PR How else to ex\xe2\x80\xa6'"
2020-05-12 21:02:47,xoxomiraya,b'RT _ I still can\xe2\x80\x99t get over how Americans got tired of COVID and just decided it was over.'
2020-05-12 21:02:47,Kamekichi1T,b'RT COVID breathing ventilators New York death rate https://t.co/6pQWuGgpXj https://t.co/MfSM8A9VzO'
2020-05-12 21:02:46,into_thefuture,b'RT A full-body sterilization booth is being trialed at the #HongKong International #Airport \xf0\x9f\x87\xad\xf0\x9f\x87\xb0 #Coronavirus #Covid_\xe2\x80\xa6'
2020-05-12 21:02:46,kvsee1,b'RT On the 31st March I lost my grandma to COVID-19 I started a GoFundMe to help with the cost of the funeral arrangements A\xe2\x80\xa6'
2020-05-12 21:02:46,SadieOaktree100,"b""RT This is a new virus &amp there's still a lot we don't understand about COVID in kids Given scientific uncertainty the decis\xe2\x80\xa6"""
2020-05-12 21:02:46,GovKemp,"b'Today received more than 152,000 N95 masks that will be shipped out to the frontlines of the fight with https://t.co/pvTQlfKhQy'"
2020-05-12 21:02:46,jeffrocks59,b'Only sad part of this whole picture is the part that isn\xe2\x80\x99t talked about Most Covid expire o https://t.co/3jOeXGI7Le'
2020-05-12 21:02:46,sandrakent38,b'RT ADVICE FROM RECORDING COVID-19 ON THE MEDICAL CERTIFICATE OF CAUSE OF DEATH. COVID-19 should be recorded on the me\xe2\x80\xa6'
2020-05-12 21:02:46,JamesRDWood,"b'RT In the last 24 hours government ministers have: 1 Accidentally made it illegal to drive to Wales 2 Stated wrongly,\xe2\x80\xa6'"
2020-05-12 21:02:46,astoldbyNGR,"b""RT Now that's three CDC studies\xe2\x80\x94from a Chinese restaurant a Korean call center and an American choir practice\xe2\x80\x94all finding that\xe2\x80\xa6"""
2020-05-12 21:02:46,Franklin_Lakes,b'May 11 2020 Message from the Mayor COVID-19 Update is available at https://t.co/NkCaFMad5B #franklinlakes https://t.co/mg3BwtlDMQ'
2020-05-12 21:02:46,blueingreenemo,b'RT Republicans care about Americans dying from COVID about as much as they care about kids dying from gun violence.'
2020-05-12 21:02:46,Larryscott00,b'RT I do not consent to contact tracing I will never submit to a covid test and I will not take another vaccine for the r\xe2\x80\xa6'
2020-05-12 21:02:46,haktuan,b'Does anyone else have a whole tab dedicated to covid-19. or is it just me https://t.co/AFKFmKLIBU'
2020-05-12 21:02:46,MauraColt,"b""RT Coping with your child(ren)'s learning (AT PRIMARY LEVEL During COVID-19 Researchers at and _DCU would\xe2\x80\xa6"""
